contigIdx	contigIdxMate	AvgCoverage
0	0	47.8716
1	1	44.9428
2	2	10.2057
3	3	8.65226
4	4	13.8984
5	5	112.104
6	6	55.0765
7	7	59.3285
8	8	199.75
9	9	29.5474
10	10	75.2808
11	11	22.3014
12	12	25.0159
12	27	0.0184148
12	30	0.0492045
12	36	1.27534
12	37	0.792722
12	42	0.525781
12	46	0.0741014
12	54	0.75987
12	61	0.0185622
13	13	34.3002
13	31	7.14721
13	39	0.0929368
14	14	112.117
15	15	14.8762
16	16	197.076
17	17	88.4553
17	32	1.7608
17	37	0.817014
17	46	0.917722
18	18	17.4998
19	19	114.449
20	20	86.072
21	21	23.0043
21	53	1.48138
22	22	86.8657
23	23	716.554
24	24	27.3434
24	57	0.0927835
25	25	51.6976
25	49	0.762689
25	60	2.44303
25	71	0.24622
26	26	9.89163
26	52	0.513364
27	12	0.0391913
27	27	68.1627
27	30	7.2311
27	42	0.154899
27	54	0.0391913
27	59	0.938414
27	61	0.0382582
28	28	17.6891
29	29	15.768
30	12	0.12366
30	27	7.7567
30	30	64.8844
30	36	0.0378686
30	37	0.447721
30	42	0.477212
30	46	0.961126
30	50	0.523123
30	54	0.159853
30	59	1.2185
30	61	0.364276
31	13	0.334341
31	31	76.0306
31	36	0.168347
31	39	18.4889
32	17	3.4302
32	32	79.9566
32	37	1.90349
32	46	0.0331197
33	33	29.5697
34	34	4.61473
34	63	0.230939
35	35	8.73279
36	12	3.38125
36	30	0.0488281
36	31	0.246094
36	36	35.1621
36	37	2.40352
36	38	4.86602
36	39	8.68789
36	42	0.0492188
36	54	0.441406
36	59	0.0488281
37	12	2.20717
37	17	1.79916
37	30	0.635865
37	32	2.42532
37	36	2.73502
37	37	95.0671
37	38	0.365823
37	42	13.9308
37	46	4.41772
37	54	0.103797
37	57	0.157806
37	59	0.477637
37	61	0.476793
38	36	5.25201
38	37	0.10553
38	38	34.4905
38	39	0.106374
38	54	0.104263
38	59	6.47742
39	13	0.111603
39	31	33.5558
39	36	10.4477
39	38	0.11116
39	39	113.546
40	40	2.96181
41	41	22.1709
42	12	2.01924
42	27	0.24701
42	30	0.715549
42	36	0.0650026
42	37	16.5507
42	38	0.0650026
42	42	32.4311
42	46	4.56474
42	50	0.522621
42	54	2.85075
42	59	2.34113
42	61	1.10712
43	43	59.8252
44	44	2.46745
45	45	2.12093
46	12	0.310644
46	17	3.41584
46	30	1.70359
46	32	0.0779703
46	37	5.87624
46	38	0.0779703
46	42	5.58911
46	46	75.8465
46	54	0.309406
46	59	1.54703
46	61	0.309406
47	47	7.23381
48	48	20.2014
49	25	1.89567
49	49	33.5545
49	60	13.4915
49	71	1.73425
50	30	1.10452
50	42	0.679703
50	50	20.975
50	57	0.163857
50	59	0.763992
50	61	3.64397
51	51	2.08213
51	58	0.521049
52	26	1.26399
52	52	7.00138
53	21	4.37447
53	53	15.5482
54	12	2.83687
54	30	0.292109
54	36	1.0478
54	37	0.191199
54	38	0.0940819
54	42	3.88088
54	46	0.0955994
54	54	7.761
54	57	0.76176
54	59	1.59408
54	61	0.38088
55	55	2.53343
56	56	16.5687
57	24	0.247312
57	37	0.290323
57	42	0.0967742
57	50	0.19278
57	54	0.290323
57	57	16.1598
58	51	0.583012
58	58	1.94517
59	27	2.46552
59	30	2.71395
59	36	0.0822884
59	37	0.88558
59	38	12.2116
59	42	3.53997
59	46	2.55486
59	50	0.77116
59	54	1.52743
59	59	20.5212
59	61	1.25235
60	25	5.82469
60	49	14.1266
60	60	29.5448
60	71	22.4355
61	12	0.0976966
61	27	0.100079
61	30	0.799841
61	37	0.0976966
61	42	1.39793
61	50	4.39555
61	54	0.0984909
61	59	1.30024
61	61	12.4853
62	62	1.39905
62	66	0.199523
63	34	0.498807
63	63	2.99682
64	64	5.6751
65	65	5.855
66	62	0.315789
66	66	1.78613
67	67	1.29442
68	68	1.57647
69	69	35.9186
70	70	1.51394
71	25	0.947368
71	49	2.4859
71	60	26.1711
71	71	17.6353
72	72	1.37441
73	73	4.38335
74	74	1.22093
75	75	1.69096
76	76	1.99602
