k141_322_length_12479_cov_41.0000,2,12479,23,1
k141_401_length_9303_cov_8.0000,3,9303,9,1
k141_70_length_9010_cov_56.0000,3,9010,15,0
k141_443_length_8610_cov_173.0000,5,8610,48,1
k141_439_length_7539_cov_61.0000,6,7539,16,1
k141_529_length_6420_cov_90.0000,3,6420,12,1
k141_158_length_5682_cov_26.0000,1,5682,23,3
k141_436_length_5372_cov_69.8417,4,5372,3,2
k141_307_length_4769_cov_9.8457,1,4769,6,3
k141_469_length_4085_cov_569.0000,4,4085,5,1
k141_12_length_2789_cov_28.2617,1,2789,3,1
k141_450_length_2586_cov_7.0000,1,2586,3,1
k141_141_length_2369_cov_35.6230,4,2369,7,1
k141_416_length_2309_cov_17.8118,2,2309,3,7
k141_138_length_2174_cov_91.9139,1,2174,36,7
k141_122_length_2121_cov_3.0000,2,2121,2,1
k141_281_length_1922_cov_47.0000,2,1922,3,1
k141_233_length_1751_cov_44.3441,2,1751,10,5
k141_180_length_1693_cov_71.0000,1,1693,9,3
k141_432_length_1616_cov_58.0563,2,1616,27,0
k141_373_length_1596_cov_107.2186,2,1596,7,1
k141_118_length_1385_cov_8.9228,1,1385,1,2
k141_26_length_1258_cov_2.0000,2,1258,2,1
k141_476_length_1093_cov_36.0924,1,1093,4,1
