DEBUG    | 2024-11-17 22:34:32,211 |    main | Metahit v1.0.0, released at 10/2024
DEBUG    | 2024-11-17 22:34:32,211 |    main | 3.9.19 | packaged by conda-forge | (main, Mar 20 2024, 12:50:21)  [GCC 12.3.0]
DEBUG    | 2024-11-17 22:34:32,211 |    main | Command line: bin/metahit-scripts/raw_contact1.py --BAM output/alignment/sorted_map.bam --FASTA output/assembly/final_assembly.fasta --OUTDIR ./output1 --enzyme HindIII --metacc-min-signal 2 --metacc-min-len 1000 --metacc-min-mapq 30 --metacc-min-match 30
INFO     | 2024-11-17 22:34:32,211 |    main | Begin constructing raw contact matrix for metacc and bin3c...
INFO     | 2024-11-17 22:34:32,212 |    main | Reading fasta file...
DEBUG    | 2024-11-17 22:34:32,231 |    main | There are 92 contigs in reference fasta
INFO     | 2024-11-17 22:34:32,232 |    main | Filtering metacc contigs by minimal length(1000)...
INFO     | 2024-11-17 22:34:32,232 |    main | Filtering bin3c contigs by minimal length(1000)...
DEBUG    | 2024-11-17 22:34:32,232 |    main | 0 contigs miss and 0 contigs are too short for metacc
DEBUG    | 2024-11-17 22:34:32,232 |    main | 0 contigs miss and 0 contigs are too short for bin3c
DEBUG    | 2024-11-17 22:34:32,232 |    main | Accepted 92 contigs covering 311108 bp for metacc
DEBUG    | 2024-11-17 22:34:32,232 |    main | Accepted 92 contigs covering 311108 bp for bin3c
INFO     | 2024-11-17 22:34:32,232 |    main | Counting reads in bam file...
DEBUG    | 2024-11-17 22:34:32,234 |    main | BAM file contains 4249 alignments
INFO     | 2024-11-17 22:34:32,234 |    main | Handling the alignments...
DEBUG    | 2024-11-17 22:34:32,245 |    main | Pair accounting for metacc: OrderedDict([('accepted map_different_contig pairs for metacc', 27), ('accepted map_same_contig pairs for metacc', 662), ('ref_excluded pairs for metacc', 0), ('poor_match pairs for metacc', 821), ('single read for metacc', 1229)])
DEBUG    | 2024-11-17 22:34:32,245 |    main | Pair accounting for bin3c: OrderedDict([('accepted map_different_contig pairs for bin3c', 24), ('accepted map_same_contig pairs for bin3c', 662), ('ref_excluded pairs for bin3c', 0), ('poor_match pairs for bin3c', 824), ('single read for bin3c', 1229)])
DEBUG    | 2024-11-17 22:34:32,246 |    main | Setting primary acceptance mask with filtering criterion min_len: 1000 min_sig: 5 for bin3c
DEBUG    | 2024-11-17 22:34:32,246 |    main | Minimum length threshold removing for bin3c: 0
DEBUG    | 2024-11-17 22:34:32,246 |    main | Minimum signal threshold removing for bin3c: 92
DEBUG    | 2024-11-17 22:34:32,246 |    main | Accepted sequences for bin3c: 0
INFO     | 2024-11-17 22:34:32,246 |    main | Filtering contigs according to minimal signal of metacc(2)...
DEBUG    | 2024-11-17 22:34:32,247 |    main | 0 contigs remain for metacc
INFO     | 2024-11-17 22:34:32,248 |    main | Raw contact matrix construction finished for metacc and bin3c
INFO     | 2024-11-17 22:34:32,249 |    main | Begin normalizing raw contacts by NormCC for metacc raw matrix
DEBUG    | 2024-11-17 22:36:10,960 |    main | Metahit v1.0.0, released at 10/2024
DEBUG    | 2024-11-17 22:36:10,960 |    main | 3.9.19 | packaged by conda-forge | (main, Mar 20 2024, 12:50:21)  [GCC 12.3.0]
DEBUG    | 2024-11-17 22:36:10,960 |    main | Command line: bin/metahit-scripts/raw_contact1.py --BAM output/alignment/sorted_map.bam --FASTA output/assembly/final_assembly.fasta --OUTDIR ./output1 --enzyme HindIII --metacc-min-signal 2 --metacc-min-len 1000 --metacc-min-mapq 30 --metacc-min-match 30
INFO     | 2024-11-17 22:36:10,960 |    main | Begin constructing raw contact matrix for metacc and bin3c...
INFO     | 2024-11-17 22:36:10,960 |    main | Reading fasta file...
DEBUG    | 2024-11-17 22:36:10,979 |    main | There are 92 contigs in reference fasta
INFO     | 2024-11-17 22:36:10,979 |    main | Filtering metacc contigs by minimal length(1000)...
INFO     | 2024-11-17 22:36:10,979 |    main | Filtering bin3c contigs by minimal length(1000)...
DEBUG    | 2024-11-17 22:36:10,979 |    main | 0 contigs miss and 0 contigs are too short for metacc
DEBUG    | 2024-11-17 22:36:10,979 |    main | 0 contigs miss and 0 contigs are too short for bin3c
DEBUG    | 2024-11-17 22:36:10,979 |    main | Accepted 92 contigs covering 311108 bp for metacc
DEBUG    | 2024-11-17 22:36:10,979 |    main | Accepted 92 contigs covering 311108 bp for bin3c
INFO     | 2024-11-17 22:36:10,979 |    main | Counting reads in bam file...
DEBUG    | 2024-11-17 22:36:10,982 |    main | BAM file contains 4249 alignments
INFO     | 2024-11-17 22:36:10,982 |    main | Handling the alignments...
DEBUG    | 2024-11-17 22:36:10,992 |    main | Pair accounting for metacc: OrderedDict([('accepted map_different_contig pairs for metacc', 27), ('accepted map_same_contig pairs for metacc', 662), ('ref_excluded pairs for metacc', 0), ('poor_match pairs for metacc', 821), ('single read for metacc', 1229)])
DEBUG    | 2024-11-17 22:36:10,992 |    main | Pair accounting for bin3c: OrderedDict([('accepted map_different_contig pairs for bin3c', 24), ('accepted map_same_contig pairs for bin3c', 662), ('ref_excluded pairs for bin3c', 0), ('poor_match pairs for bin3c', 824), ('single read for bin3c', 1229)])
DEBUG    | 2024-11-17 22:36:10,992 |    main | Setting primary acceptance mask with filtering criterion min_len: 1000 min_sig: 5 for bin3c
DEBUG    | 2024-11-17 22:36:10,992 |    main | Minimum length threshold removing for bin3c: 0
DEBUG    | 2024-11-17 22:36:10,993 |    main | Minimum signal threshold removing for bin3c: 92
DEBUG    | 2024-11-17 22:36:10,993 |    main | Accepted sequences for bin3c: 0
INFO     | 2024-11-17 22:36:10,993 |    main | Filtering contigs according to minimal signal of metacc(2)...
DEBUG    | 2024-11-17 22:36:10,993 |    main | 0 contigs remain for metacc
INFO     | 2024-11-17 22:36:10,994 |    main | Raw contact matrix construction finished for metacc and bin3c
INFO     | 2024-11-17 22:36:10,995 |    main | Begin normalizing raw contacts by NormCC for metacc raw matrix
DEBUG    | 2024-11-17 22:38:29,296 |    main | Metahit v1.0.0, released at 10/2024
DEBUG    | 2024-11-17 22:38:29,297 |    main | 3.9.19 | packaged by conda-forge | (main, Mar 20 2024, 12:50:21)  [GCC 12.3.0]
DEBUG    | 2024-11-17 22:38:29,297 |    main | Command line: bin/metahit-scripts/raw_contact1.py --BAM output/alignment/sorted_map.bam --FASTA output/assembly/final_assembly.fasta --OUTDIR ./output1 --enzyme HindIII --metacc-min-signal 2 --metacc-min-len 1000 --metacc-min-mapq 30 --metacc-min-match 30
INFO     | 2024-11-17 22:38:29,297 |    main | Begin constructing raw contact matrix for metacc and bin3c...
INFO     | 2024-11-17 22:38:29,297 |    main | Reading fasta file...
DEBUG    | 2024-11-17 22:38:29,312 |    main | There are 92 contigs in reference fasta
INFO     | 2024-11-17 22:38:29,313 |    main | Filtering metacc contigs by minimal length(1000)...
INFO     | 2024-11-17 22:38:29,313 |    main | Filtering bin3c contigs by minimal length(1000)...
DEBUG    | 2024-11-17 22:38:29,313 |    main | 0 contigs miss and 0 contigs are too short for metacc
DEBUG    | 2024-11-17 22:38:29,313 |    main | 0 contigs miss and 0 contigs are too short for bin3c
DEBUG    | 2024-11-17 22:38:29,313 |    main | Accepted 92 contigs covering 311108 bp for metacc
DEBUG    | 2024-11-17 22:38:29,313 |    main | Accepted 92 contigs covering 311108 bp for bin3c
INFO     | 2024-11-17 22:38:29,313 |    main | Counting reads in bam file...
DEBUG    | 2024-11-17 22:38:29,315 |    main | BAM file contains 4249 alignments
INFO     | 2024-11-17 22:38:29,315 |    main | Handling the alignments...
DEBUG    | 2024-11-17 22:38:29,324 |    main | Pair accounting for metacc: OrderedDict([('accepted map_different_contig pairs for metacc', 27), ('accepted map_same_contig pairs for metacc', 662), ('ref_excluded pairs for metacc', 0), ('poor_match pairs for metacc', 821), ('single read for metacc', 1229)])
DEBUG    | 2024-11-17 22:38:29,324 |    main | Pair accounting for bin3c: OrderedDict([('accepted map_different_contig pairs for bin3c', 24), ('accepted map_same_contig pairs for bin3c', 662), ('ref_excluded pairs for bin3c', 0), ('poor_match pairs for bin3c', 824), ('single read for bin3c', 1229)])
DEBUG    | 2024-11-17 22:38:29,324 |    main | Setting primary acceptance mask with filtering criterion min_len: 1000 min_sig: 5 for bin3c
DEBUG    | 2024-11-17 22:38:29,324 |    main | Minimum length threshold removing for bin3c: 0
DEBUG    | 2024-11-17 22:38:29,325 |    main | Minimum signal threshold removing for bin3c: 92
DEBUG    | 2024-11-17 22:38:29,325 |    main | Accepted sequences for bin3c: 0
INFO     | 2024-11-17 22:38:29,325 |    main | Filtering contigs according to minimal signal of metacc(2)...
DEBUG    | 2024-11-17 22:38:29,326 |    main | 0 contigs remain for metacc
INFO     | 2024-11-17 22:38:29,327 |    main | Raw contact matrix construction finished for metacc and bin3c
