contigName	contigLen	totalAvgDepth	SG_map.sam	SG_map.sam-var
NODE_1_length_10905_cov_3.085242	10905	0	0	0
NODE_2_length_10270_cov_2.623271	10270	0	0	0
NODE_3_length_9472_cov_4.162214	9472	0	0	0
NODE_4_length_9143_cov_16.698765	9143	0	0	0
NODE_5_length_8954_cov_18.171229	8954	0	0	0
NODE_6_length_8793_cov_33.746673	8793	0	0	0
NODE_7_length_8792_cov_25.002065	8792	0	0	0
NODE_8_length_8631_cov_61.266542	8631	0	0	0
NODE_9_length_8593_cov_33.900540	8593	0	0	0
NODE_10_length_8050_cov_9.074125	8050	0	0	0
NODE_11_length_7624_cov_21.203922	7624	0	0	0
NODE_12_length_7520_cov_23.140669	7520	0	0	0
NODE_13_length_7111_cov_6.890958	7111	0	0	0
NODE_14_length_6992_cov_4.692842	6992	0	0	0
NODE_15_length_6400_cov_34.596394	6400	0	0	0
NODE_16_length_6210_cov_27.502690	6210	0	0	0
NODE_17_length_6209_cov_2.881768	6209	0	0	0
NODE_18_length_5710_cov_9.829398	5710	0	0	0
NODE_19_length_5693_cov_4.598113	5693	0	0	0
NODE_20_length_5620_cov_7.197907	5620	0	0	0
NODE_21_length_5539_cov_61.611131	5539	0	0	0
NODE_22_length_5378_cov_1.431994	5378	0	0	0
NODE_23_length_5221_cov_26.041991	5221	0	0	0
NODE_24_length_5146_cov_5.410732	5146	0	0	0
NODE_25_length_4970_cov_5.279583	4970	0	0	0
NODE_26_length_4938_cov_35.676815	4938	0	0	0
NODE_27_length_4801_cov_5.232642	4801	0	0	0
NODE_28_length_4653_cov_26.617570	4653	0	0	0
NODE_29_length_4070_cov_8.531430	4070	0	0	0
NODE_30_length_4066_cov_222.507145	4066	0	0	0
NODE_31_length_3869_cov_28.530591	3869	0	0	0
NODE_32_length_3644_cov_56.721334	3644	0	0	0
NODE_33_length_3274_cov_0.910854	3274	0	0	0
NODE_34_length_3206_cov_5.502397	3206	0	0	0
NODE_35_length_2924_cov_19.173867	2924	0	0	0
NODE_36_length_2843_cov_0.991685	2843	0	0	0
NODE_37_length_2644_cov_11.213524	2644	0	0	0
NODE_38_length_2602_cov_2.722376	2602	0	0	0
NODE_39_length_2492_cov_1.121325	2492	0	0	0
NODE_40_length_2344_cov_9.613383	2344	0	0	0
NODE_41_length_2166_cov_0.957396	2166	0	0	0
NODE_42_length_2086_cov_0.858636	2086	0	0	0
NODE_43_length_2056_cov_5.256695	2056	0	0	0
NODE_44_length_1994_cov_14.970266	1994	0	0	0
NODE_45_length_1962_cov_7.124138	1962	0	0	0
NODE_46_length_1912_cov_19.261580	1912	0	0	0
NODE_47_length_1865_cov_30.649329	1865	0	0	0
NODE_48_length_1833_cov_8.820046	1833	0	0	0
NODE_49_length_1791_cov_57.424737	1791	0	0	0
NODE_50_length_1764_cov_0.991108	1764	0	0	0
NODE_51_length_1732_cov_0.833233	1732	0	0	0
NODE_52_length_1695_cov_0.854759	1695	0	0	0
NODE_53_length_1680_cov_1.031192	1680	0	0	0
NODE_54_length_1655_cov_0.722433	1655	0	0	0
NODE_55_length_1635_cov_0.752888	1635	0	0	0
NODE_56_length_1582_cov_0.756811	1582	0	0	0
NODE_57_length_1572_cov_0.705686	1572	0	0	0
NODE_58_length_1555_cov_6.922869	1555	0	0	0
NODE_59_length_1554_cov_2.461747	1554	0	0	0
NODE_60_length_1515_cov_1.038943	1515	0	0	0
NODE_61_length_1511_cov_0.914923	1511	0	0	0
NODE_62_length_1507_cov_73.969930	1507	0	0	0
NODE_63_length_1473_cov_0.687679	1473	0	0	0
NODE_64_length_1469_cov_0.867816	1469	0	0	0
NODE_65_length_1459_cov_1.017366	1459	0	0	0
NODE_66_length_1427_cov_1.810370	1427	0	0	0
NODE_67_length_1414_cov_0.816006	1414	0	0	0
NODE_68_length_1395_cov_0.829287	1395	0	0	0
NODE_69_length_1382_cov_1.121839	1382	0	0	0
NODE_70_length_1368_cov_0.897754	1368	0	0	0
NODE_71_length_1361_cov_1.107477	1361	0	0	0
NODE_72_length_1355_cov_0.906886	1355	0	0	0
NODE_73_length_1298_cov_5.475839	1298	0	0	0
NODE_74_length_1247_cov_0.758974	1247	0	0	0
NODE_75_length_1238_cov_1.047373	1238	0	0	0
NODE_76_length_1229_cov_1.153646	1229	0	0	0
NODE_77_length_1229_cov_0.820312	1229	0	0	0
NODE_78_length_1226_cov_51.818973	1226	0	0	0
NODE_79_length_1215_cov_75.318102	1215	0	0	0
NODE_80_length_1215_cov_1.817223	1215	0	0	0
NODE_81_length_1214_cov_7.087951	1214	0	0	0
NODE_82_length_1191_cov_2.010772	1191	0	0	0
NODE_83_length_1150_cov_16.321528	1150	0	0	0
NODE_84_length_1142_cov_2.033803	1142	0	0	0
NODE_85_length_1137_cov_5.852830	1137	0	0	0
NODE_86_length_1088_cov_0.552918	1088	0	0	0
NODE_87_length_1086_cov_12.266601	1086	0	0	0
NODE_88_length_1064_cov_0.909828	1064	0	0	0
NODE_89_length_1053_cov_0.545082	1053	0	0	0
NODE_90_length_1025_cov_0.827004	1025	0	0	0
NODE_91_length_1012_cov_0.698396	1012	0	0	0
NODE_92_length_1008_cov_71.653061	1008	0	0	0
